Arrive LeBoreal,2013-09-29 08:00:00,2013-09-29 09:00:00,Disembark only,Ware Berth 6/7
Arrive Carnival Glory,2013-09-30 08:00:00,2013-09-30 09:00:00,,Main Berth 8/9
Arrive Caribbean Princess,2013-09-30 10:00:00,2013-09-30 11:00:00,,Ware Berth 6/7
Arrive Norwegian Gem,2013-10-03 08:00:00,2013-10-03 09:00:00,,Main Berth 8/9
Arrive Eurodam,2013-10-04 08:00:00,2013-10-04 09:00:00,,Ware Berth 6/7
Arrive Seabourne Sojourn,2013-10-04 07:00:00,2013-10-04 08:00:00,Debark/Embark,Main Berth 8/9
Arrive Veendam,2013-10-05 07:00:00,2013-10-05 08:00:00,Boston/Montreal/BOS,Main Berth 8/9
Arrive Brilliance of the Seas,2013-10-06 06:00:00,2013-10-06 07:00:00,Bos/Hal/SJ/Maine/Boston,Main Berth 8/9
Arrive Silver Whisper,2013-10-06 08:00:00,2013-10-06 09:00:00,,Ware Berth 6/7
Arrive Carnival Glory,2013-10-07 08:00:00,2013-10-07 09:00:00,,Main Berth 8/9
Arrive Caribbean Princess,2013-10-07 10:00:00,2013-10-07 11:00:00,,Ware Berth 6/7
Arrive Aidabella,2013-10-10 09:00:00,2013-10-10 10:00:00,,Ware Berth 6/7
Arrive Norwegian Gem,2013-10-10 08:00:00,2013-10-10 09:00:00,,Main Berth 8/9
Arrive Silver Whisper,2013-10-10 08:00:00,2013-10-10 09:00:00,,88BF 4/5
Arrive Seven Seas Navigator,2013-10-11 08:00:00,2013-10-11 09:00:00,,88 BF 4/5
Arrive Norwegian Dawn,2013-10-11 07:00:00,2013-10-11 08:00:00,Boston/Bermuda,Main Berth 8/9
Arrive Crystal Symphony,2013-10-11 08:00:00,2013-10-11 09:00:00,,Ware Berth 6/7
Arrive Brilliance of the Seas,2013-10-13 06:00:00,2013-10-13 07:00:00,Bos/Hal/SJ/Maine/Boston,Main Berth 8/9
Arrive Emerald Princess,2013-10-14 07:00:00,2013-10-14 08:00:00,,Main Berth 8/9
Arrive Seven Seas Navigator,2013-10-15 08:00:00,2013-10-15 09:00:00,,Main Berth 8/9
Arrive Aidabella,2013-10-16 08:00:00,2013-10-16 09:00:00,,Main Berth 8/9
