,,2013 CRUISE SCHEDULE as of:,,2/10/2013,,,,,,,,,,,
,Day,Date,Vessel,Type,Duration,Remarks,ETA,ETD,Berth,Pass. Capacity,LOA,Agency,Cruise Line,voyage,
64,Sun,09/22/13,Brilliance of the Seas,Turn,7 Day,Bos/Hal/SJ/Maine/Boston,6:00,17:00,Main Berth 8/9,2501,963,Intercruises,Royal Caribbean,22420,
65,Sun,09/22/13,Carnival Glory,POC,1 Day,,14:00,22:00,Ware Berth 6/7,2974,952,Intercruises,Carnival,glo7092113,
66,Mon,09/23/13,Celebrity Summit,POC,1 Day,,7:00,17:00,Main Berth 8/9,1950,965,Intercruises,Celebrity Cruises,58486,
67,Mon,09/23/13,Caribbean Princess,POC,1 Day,,10:00,19:00,Ware Berth 6/7,3100,951,Goff and Page,Princess,CB1330,
68,Wed,09/25/13,Seven Seas Navigator,POC,1 Day,,8:00,18:00,Main Berth 8/9,490,560,Goff and Page,Regent Seven Seas,,
69,Thu,09/26/13,Norwegian Gem,POC,1 Day,,8:00,18:00,Main Berth 8/9,2394,965,Moran,NCL,27130921,
70,Thu,09/26/13,Aidabella,POC,1 Day,,8:00,18:00,Ware Berth 6/7,2050,826,Intercruises,Aida Cruises,,
71,Fri,09/27/13,Norwegian Dawn,Turn,14 Day,Boston/Quebec City/BOS,7:00,17:00,Main Berth 8/9,2224,958,Moran,NCL,14130927,
72,Sat,09/28/13,Maasdam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,773,
73,Sat,09/28/13,Emerald Princess,POC,1 Day,,10:00,19:00,Ware Berth 6/7,3080,947,Goff and Page,Princess,EP1326,
74,Sun,09/29/13,Brilliance of the Seas,Turn,7 Day,Bos/Hal/SJ/Maine/Boston,6:00,17:00,Main Berth 8/9,2501,963,Intercruises,Royal Caribbean,22421,
75,Sun,09/29/13,Eurodam,POC,1 Day,,7:00,17:00,88 BF 4/5,1258,719,Moran,Holland,226,
76,Sun,09/29/13,LeBoreal,Turn,1 Day,Disembark only,8:00,12:00,Ware Berth 6/7,264,466,Intercruises,Campagnie Du Pon,,
77,Mon,09/30/13,Carnival Glory,POC,1 Day,,8:00,17:00,Main Berth 8/9,2974,952,Intercruises,Carnival,glo7092813,
78,Mon,09/30/13,Caribbean Princess,POC,1 Day,,10:00,19:00,Ware Berth 6/7,3100,951,Goff and Page,Princess,CB1331,
79,Thu,10/03/13,Norwegian Gem,POC,1 Day,,8:00,18:00,Main Berth 8/9,2394,965,Moran,NCL,27130928,
80,Fri,10/04/13,Eurodam,POC,1 Day,,8:00,17:00,Ware Berth 6/7,1258,719,Moran,Holland,227,
